tweet_id,timestamp,source,rating_numerator,rating_denominator,name,dog_stage,retweet_count,favorite_count,jpg_url,p1,p1_conf,p1_dog,p2,p2_conf,p2_dog,p3,p3_conf,p3_dog
714957620017307648,2016-03-29 23:29:14+00:00,Twitter for iPhone,10,10,Curtis,None,1595,4503,https://pbs.twimg.com/media/CewKKiOWwAIe3pR.jpg,Great_Pyrenees,0.2515159999999999,True,Samoyed,0.139346,True,kuvasz,0.129005,True
714631576617938945,2016-03-29 01:53:39+00:00,Twitter for iPhone,4,10,Benedict,None,1122,3571,https://pbs.twimg.com/media/CerhoBWWAAA5eLL.jpg,meerkat,0.143497,False,weasel,0.1174019999999999,False,black-footed_ferret,0.0999327,False
714606013974974464,2016-03-29 00:12:05+00:00,Twitter for iPhone,12,10,None,None,1038,3938,https://pbs.twimg.com/media/CerKYG8WAAM1aE-.jpg,Norfolk_terrier,0.293007,True,Labrador_retriever,0.256198,True,golden_retriever,0.129643,True
714258258790387713,2016-03-28 01:10:13+00:00,Twitter for iPhone,10,10,Travis,None,808,3281,https://pbs.twimg.com/media/CemOGNjWQAEoN7R.jpg,collie,0.176758,True,Chesapeake_Bay_retriever,0.101834,True,beagle,0.101294,True
714251586676113411,2016-03-28 00:43:43+00:00,Twitter for iPhone,8,10,Thumas,None,940,3570,https://pbs.twimg.com/media/CemIBt4WwAQqhVV.jpg,soft-coated_wheaten_terrier,0.751962,True,Bedlington_terrier,0.175652,True,Great_Pyrenees,0.0114524,True
714214115368108032,2016-03-27 22:14:49+00:00,Twitter for iPhone,13,10,None,None,990,2480,https://pbs.twimg.com/media/Cell8ikWIAACCJ-.jpg,pug,0.533967,True,bloodhound,0.164826,True,German_shepherd,0.046524,True
714141408463036416,2016-03-27 17:25:54+00:00,Twitter for iPhone,10,10,None,None,1569,4673,https://pbs.twimg.com/media/Cekj0qwXEAAHcS6.jpg,Labrador_retriever,0.586951,True,golden_retriever,0.378812,True,redbone,0.00360489,True
713919462244790272,2016-03-27 02:43:58+00:00,Twitter for iPhone,12,10,Kanu,None,869,3564,https://pbs.twimg.com/media/CehZ9mLWsAAsn28.jpg,Siberian_husky,0.4632229999999999,True,Eskimo_dog,0.389959,True,malamute,0.0979627,True
713761197720473600,2016-03-26 16:15:05+00:00,Twitter for iPhone,12,10,Piper,None,1541,5308,https://pbs.twimg.com/media/CefKBOuWIAAIlKD.jpg,Brittany_spaniel,0.797936,True,English_springer,0.0447181999999999,True,Welsh_springer_spaniel,0.0379107,True
713411074226274305,2016-03-25 17:03:49+00:00,Twitter for iPhone,11,10,None,None,1440,4802,https://pbs.twimg.com/media/CeaLlAPUMAIcC7U.jpg,Great_Pyrenees,0.720337,True,Samoyed,0.129542,True,kuvasz,0.122451,True
713177543487135744,2016-03-25 01:35:51+00:00,Twitter for iPhone,10,10,Lance,None,3183,7854,https://pbs.twimg.com/media/CeW3MWMWQAEOMbq.jpg,whippet,0.734244,True,basenji,0.025948,True,Great_Dane,0.0258743,True
713175907180089344,2016-03-25 01:29:21+00:00,Twitter for iPhone,10,10,Opie,None,1630,4851,https://pbs.twimg.com/media/CeW1tERWAAAA9Q2.jpg,timber_wolf,0.503788,False,malamute,0.4306239999999999,True,Siberian_husky,0.0284542,True
712809025985978368,2016-03-24 01:11:29+00:00,Twitter for iPhone,10,10,Stubert,None,7602,20378,https://pbs.twimg.com/media/CeRoBaxWEAABi0X.jpg,Labrador_retriever,0.8686709999999999,True,carton,0.0950952,False,pug,0.00765137,True
712717840512598017,2016-03-23 19:09:09+00:00,Twitter for iPhone,10,10,None,None,5616,13474,https://pbs.twimg.com/media/CeQVF1eVIAAJaTv.jpg,Great_Pyrenees,0.732043,True,kuvasz,0.121375,True,Irish_wolfhound,0.0495237,True
712668654853337088,2016-03-23 15:53:42+00:00,Twitter for iPhone,10,10,Sunny,None,1367,4531,https://pbs.twimg.com/media/CePoVTyWsAQEz1g.jpg,Labrador_retriever,0.829058,True,golden_retriever,0.0386645,True,Chihuahua,0.0262214,True
712438159032893441,2016-03-23 00:37:48+00:00,Twitter for iPhone,11,10,Kane,None,1756,5799,https://pbs.twimg.com/media/CeMWubMWwAA6GwF.jpg,ice_bear,0.869477,False,Great_Pyrenees,0.069457,True,Labrador_retriever,0.02474,True
712097430750289920,2016-03-22 02:03:52+00:00,Twitter for iPhone,10,10,None,None,1172,4144,https://pbs.twimg.com/media/CeHg1klW8AE4YOB.jpg,Labrador_retriever,0.720481,True,whippet,0.0480318,True,Chesapeake_Bay_retriever,0.0450464,True
712092745624633345,2016-03-22 01:45:15+00:00,Twitter for iPhone,7,10,Steven,None,1016,3211,https://pbs.twimg.com/media/CeHckpuW4AAF7rT.jpg,triceratops,0.235373,False,llama,0.153126,False,three-toed_sloth,0.11184,False
712085617388212225,2016-03-22 01:16:55+00:00,Twitter for iPhone,11,10,Olive,None,556,3531,https://pbs.twimg.com/media/CeHWFksXIAAyypp.jpg,Shih-Tzu,0.625129,True,Tibetan_terrier,0.126897,True,Lhasa,0.119663,True
712065007010385924,2016-03-21 23:55:01+00:00,Twitter for iPhone,6,10,Chester,None,700,2451,https://pbs.twimg.com/media/CeHDV73W0AM5Cf8.jpg,goose,0.214301,False,gibbon,0.084253,False,pizza,0.0801683,False
711998809858043904,2016-03-21 19:31:59+00:00,Twitter for iPhone,12,10,None,None,138,0,https://pbs.twimg.com/tweet_video_thumb/CeGGkWuUUAAYWU1.jpg,comic_book,0.105171,False,kuvasz,0.0598951,True,book_jacket,0.0466380999999999,False
711968124745228288,2016-03-21 17:30:03+00:00,Twitter for iPhone,10,10,Winston,pupper,2601,8776,https://pbs.twimg.com/media/CeFrO3qXEAADRbd.jpg,espresso,0.430135,False,coffee_mug,0.418483,False,cup,0.0883911999999999,False
711743778164514816,2016-03-21 02:38:34+00:00,Twitter for iPhone,11,10,Roosevelt,None,1101,3095,https://pbs.twimg.com/media/CeCfMPDW0AAAEUj.jpg,Lakeland_terrier,0.4595149999999999,True,miniature_poodle,0.219661,True,standard_poodle,0.130189,True
711732680602345472,2016-03-21 01:54:29+00:00,Twitter for iPhone,10,10,None,None,4653,9756,https://pbs.twimg.com/media/CeCVGEbUYAASeY4.jpg,dingo,0.366875,False,Ibizan_hound,0.334929,True,Eskimo_dog,0.0738761999999999,True
711694788429553666,2016-03-20 23:23:54+00:00,Twitter for iPhone,13,10,None,None,20500,35865,https://pbs.twimg.com/tweet_video_thumb/CeBym7oXEAEWbEg.jpg,brown_bear,0.7132930000000001,False,Indian_elephant,0.172844,False,water_buffalo,0.0389022,False
